source,paragraph
Christie,"gives me to write, as for the enormous pleasure I know it will give"
Conan Doyle,"glad--if it wakens these thoughts in you!"""
Conan Doyle,"""Surely we could get down."""
Conan Doyle,upon the night of May 2nd.”
Conan Doyle,"""And that the germ plasm is different from the parthenogenetic egg?"""
Conan Doyle,"idea came to me. I begged a fortnight’s grace from the creditor, asked"
Christie,"“No, monsieur. We did not wish to occasion her any distress if it could"
Christie,"Supporting her with my arm I led her out into the air, and she pulled"
Christie,unrecognizable. It was that which first set me on the right track. And
Christie,bleating old fool Milray embroil me in the matter I can’t think.
Conan Doyle,"astonishment, a quite epicurean little cold supper began to be laid out"
Conan Doyle,"“It missed him, then?”"
Conan Doyle,"banker, rising. “Sir, I cannot find words to thank you, but you shall"
Conan Doyle,"handed me a card from his desk.  ""You will perceive that Mr. Percival"
Christie,“Madame Renauld’s of course. That is where _la mauvaise chance___ came
Christie,"letter written at your dictation, which was just what I expected."
Christie,handed it to him.
Christie,of mine. My eyes said the rest.
Conan Doyle,seemed to have come to a premature end.  Even now I can't for the life
Christie,"“Blackmail,” repeated Stonor. “The old man was being bled—and at a good"
Christie,"“Not that!” he cried vehemently. “Not that. Don’t tempt me, Anne."
Christie,"my hands by rubbing the wrists vigorously, I was able to undo the"
Conan Doyle,"Star_ was there in January, ’85, my suspicion became a certainty. I"
Conan Doyle,"widower and never had any family. We live very quietly, sir, the three"
Conan Doyle,An enormous three-toed track was imprinted in the soft mud before us.
Conan Doyle,"different points, Holmes desired to be led to the court-yard, from"
Conan Doyle,"remains. Mr. Rucastle then, I presume, took to this system of"
Christie,one—and _trés chic___ for all that she lives so quietly with her
Conan Doyle,be very large; neither to east nor to west could I see any end to the
Conan Doyle,"the sunshine, and looked down in wonder at our tiny, dark, stumbling"
Christie,"“While you break it in person to Mademoiselle Marthe, eh?” finished"
Christie,"Then, with a little satisfied grunt, Poirot returned the measure to his"
Conan Doyle,                          The Lost World
Christie,"knew what I was talking about? In other words, he suspected me of"
Christie,"gap in the hedge. They stood together facing me, the man’s arm round"
Conan Doyle,"“Good-night, Mister Sherlock Holmes.”"
Conan Doyle,to the altar with him with the intention to make him just as good a
Conan Doyle,something to excite them if they put us up.  The 'Last Stand of the
Conan Doyle,follow them.  So I thought it was time we made a break for it.  I had
Christie,"She yawned, looking like a sleepy kitten. “An idiot of a steward"
Conan Doyle,"He drank more than ever, and he was less inclined for any sort of"
Conan Doyle,"bravos, not mansos; they watch us every mile of the way; kill us if"
Christie,never heard of the finding of an antique skull at the Broken Hill
Conan Doyle,slipped over me entirely and rested on my shoulders.  He had the face
Conan Doyle,have had to turn back.  Many times we were up to our waists in the
Conan Doyle,writings. And then suddenly the whole business came to an end.”
Conan Doyle,country--we were to find out what strange hazards lay around us.  It
Conan Doyle,"the turning point of our fortunes.  From then onwards, we were in truth"
Conan Doyle,"                ""Our Eyes have seen Great Wonders"""
Christie,discreet. That’s what makes him so hard to live with for long on
Conan Doyle,"the plateau, but all our spare clothing was in our camp below, and the"
Christie,"prints would show on the drive or paths; but, on the soft mould of the"
Conan Doyle,"“I was a little startled at the nature of the child’s amusement, but"
Conan Doyle,"which spoke her joy. “I have been waiting so eagerly for you,” she"
Christie,"“_Eh bien___, come in here. You shall judge for yourself.” He flung"
Christie,that. To most people it would have been a treat—but one can have
Conan Doyle,"we should do business with the male relatives. And now, Doctor, we can"
Conan Doyle,"“I think, Watson,” he remarked at last, “that of all our cases we have"
Conan Doyle,"""There was nothing worth bucking about."""
Christie,the hotel—but you knew that surely?”
Conan Doyle,"him, and he's to be all right in a week.  I say, young fellah, I hope"
Christie,"“Perhaps you’re nearer the mark than you know,” said Colonel Race"
Christie,this visit undertaken with a deeper and more sinister purpose?
Christie,back with a satisfied air.
Christie,the mail train left for Rhodesia bearing with it the influential
Christie,is not seriously hurt.”
Christie,But a slender figure pushed the stammering gendarme aside. Dressed all
Conan Doyle,whether anything had turned up which might suit me. Westaway was the
Conan Doyle,which I have the honour to bear”—he gave a little stately cough—“had I
Christie,She caught up a scrap of paper and began drawing feverishly. She
Christie,clue of two inches?”
Christie,"friend. As though he read my thoughts, he nodded sagely."
Conan Doyle,"woman who had caused the original disturbance, in the belief that, from"
Conan Doyle,no explanation save that the things had been paid for and were ordered
Conan Doyle,"indicated an arm-chair to me and placed my refreshment near it, he"
Conan Doyle,from accidental causes.’ Carefully as I examined every fact connected
Conan Doyle,Lord St. Simon shrugged his shoulders and raised his eyebrows. “We have
Conan Doyle,“I will not look.”
Conan Doyle,finger to his lips as a sign of secrecy and had stolen back again to
Conan Doyle,the head-hunters of Malaya.  It is decreed by a merciful Nature that
Conan Doyle,"let to Mr. Charles McCarthy, who was also an ex-Australian. The men had"
Conan Doyle,men whose hair is of that colour. From all I hear it is splendid pay
Christie,“_Pardon!___ But I am not in the least satisfied. Jack Renauld is
Conan Doyle,The first impression which I received when I had recovered my breath
Christie,"may be necessary for you to go out to Santiago, where I spent several"
Conan Doyle,    down just as you departed.
Conan Doyle,"""THE CHAIRMAN:  'Order! order!  Dr. Illingworth, I must direct you to"
Conan Doyle,"""Admirable!"" cried Challenger.  ""Admirable!  Not only we as"
Conan Doyle,“But a cripple!” said I. “What could he have done single-handed against
Conan Doyle,parallel to the large ones.
Christie,"“An admirable theory, Hastings, but for two facts which you have"
Conan Doyle,"of my mouth than the whole crowd of spectators, well dressed and"
Conan Doyle,"down, Malone! Don't make a public ass of yourself.""  At the same time I"
Christie,beautiful cabin because I didn’t care for the one I’d got. You talk
Conan Doyle,"come, by the Lord you do it at your own risk.  Forfeit, my good Mr."
Christie,do not propose that you should accompany me. Remain here and keep an
Christie,business. The appointment on the morning of the 22nd was with her
Conan Doyle,"an incredible bulk, larger than the largest elephant.  We had never"
Christie,"Poirot sat very upright and began, wagging his forefinger emphatically"
Conan Doyle,"me. I read suspicion there and annoyance, but no jest."
Conan Doyle,"It was dated from Montague Place upon the preceding evening, and ran"
Conan Doyle,"He took an orange from the cupboard, and tearing it to pieces he"
Conan Doyle,reward; but you are at liberty to defray whatever expenses I may be put
Christie,"counter. Out of the tail of my eye, I saw my tracker come in and"
Christie,"followed me from the hotel. It was some one who was already here,"
Christie,perhaps you would like to be present?”
Conan Doyle,Round this clearing there was a semi-circle of trees with curious huts
Christie,"“Excellent,” said Poirot appreciatively."
Conan Doyle,"passage, paused immediately outside the door. Then there was a loud and"
Conan Doyle,"Adler, as I will still call her, had hurried up the steps; but she"
Conan Doyle,"in the damp grasses by my side, will know if I have lied."
Conan Doyle,"lantern. Over the edge there peeped a clean-cut, boyish face, which"
Christie,Her voice was almost soundless.
Conan Doyle,"personate someone, and the real person is imprisoned in this chamber."
Conan Doyle,“So they have. And many men have been wrongfully hanged.”
Conan Doyle,we advanced together through the woods we found the ape-men lying
Christie,"“I and my friend, you comprehend, have business elsewhere,” explained"
Christie,A small boy who had arrived unobserved a few paces to our rear blew
Conan Doyle,“You’ll never persuade me to believe that.”
Christie,"me. As soon as I saw that the hearth-rug was out of the straight, I"
Christie,    her date with me.
Conan Doyle,"make fast to this stump, and so you have bridge."""
Conan Doyle,"can do nothing until seven o’clock. At that hour we shall be with you,"
Conan Doyle,“Then you don’t think I’ll see him again?”
Christie,“That settles it then. I thought he was at Cannes with Sir Eustace.”
Christie,"lady who had come to look over the house, but had stopped at the"
Conan Doyle,taxicab took me round in good time for my appointment.  It was an
Christie,"weeping, and imploring her mistress to return to bed."
Christie,"“Make a clean breast of it, my dear fellow,” I said kindly. “Much"
Christie,"arrived, even. The examining magistrate has been awaiting you with the"
Conan Doyle,fifteen yards in diameter.  This was to be our headquarters for the
Conan Doyle,"first; but when I looked again there he was still, with a kind of"
Conan Doyle,"supplies which had been carried up, and we were able to drag it across."
Christie,"time out there. Hardships in plenty, you understand, but it was a"
Christie,"“Thank you, I don’t need anything done for me.”"
Conan Doyle,"“‘Ah, very well; then that quite settles the matter. It is a pity,"
Conan Doyle,"sacrifice, be reflected upon herself?  Or are these thoughts the vain"
Christie,Mr. Pagett brandishing a revolver. Or my missionary friend with a
Conan Doyle,in the dock for a crime of which he knew nothing.”
Christie,"    arrested, it was all up. Bella wouldn’t even wait to see how things"
Conan Doyle,The man sprang from his chair and paced up and down the room in
Conan Doyle,"wild-eyed, gasping as he breathed like one who has run far and fast."
Christie,"It was really a very rude thing to say, but I only laughed softly"
Christie,"The magistrate did not insist. Instead he inquired about the chauffeur,"
Christie,them every time. There’s to be money in it—”
Conan Doyle,the features. If you should find yourself in doubt or in danger—”
Conan Doyle,east of the City. Hitherto his orgies had always been confined to one
Conan Doyle,"“Ah, Bradstreet, how are you?” A tall, stout official had come down the"
Conan Doyle,"it,” returned Holmes, going back to the mat to knock the snow from his"
Conan Doyle,"“There is nothing more deceptive than an obvious fact,” he answered,"
Conan Doyle,"That was to some extent in favour of the accused, as when seen"
Conan Doyle,followed at his heels.
Christie,I knew why his face was familiar. It was the small man with the
Christie,with a drooping moustache who looked exactly like the Mock Turtle
Christie,"“Yes,” I cried, “but who has been killed?”"
Conan Doyle,"“Oh, yes, I know that I have treated you real bad and that I should"
Conan Doyle,"you may have heard, a granite continent.  At this single point in the"
Conan Doyle,able to write again--or if I ever shall write again--I know not.
Conan Doyle,have done with it and get it over.  I think he had gone a bit off his
Conan Doyle,the injured man. And yet it would be the blackest treachery to Holmes
Conan Doyle,"and the creaking of an old house, I may possibly have been deceived.”"
Conan Doyle,"He took a large sheet of paper from his pocket, all covered with dates"
Christie,"take advantage. He is helpless, absolutely in her power. And she bleeds"
Christie,"and I was standing at the landing-stage, helping them in, when one"
Conan Doyle,long as I followed it back I must come to the camp.  Often I had to
Conan Doyle,"For a moment I wondered where I could have seen that ungainly shape,"
Conan Doyle,"“Well, you can easily think that that made me prick up my ears, for the"
Christie,"her. Alone with her visitor, a subtle change came over Nadina’s"
Christie,"Poirot looked inquiringly at me, but I said no more. It had just"
Conan Doyle,at this moment in front of Peterson’s fire. The facts are these: about
Conan Doyle,"window, so that I became consumed with the desire to see what was going"
Conan Doyle,"Gate, where breakfast had been prepared. It appears that some little"
Conan Doyle,only be determined by the fresh information which we shall no doubt
Conan Doyle,took out a note.
Christie,The other did not reply. Poirot proceeded. The dagger had been
Christie,"“Dead drunk,” I thought vexedly. “What _am_ I to do?”"
Conan Doyle,"The banker’s dressing-room was a plainly furnished little chamber, with"
Christie,“And your theory is?”
Conan Doyle,"""I am going to talk to you about South America,"" said he.  ""No comments"
Christie,"I leaned over the rail, watching the phosphorescent trail of foam."
Christie,"the other, so he went scot-free too.”"
Conan Doyle,"among bad companions, took to drink, had no luck with my claim, took to"
Christie,Blair has been in communication with us ever since. I received the
Conan Doyle,"sideways, that my own shadow might not fall upon the page, he begged me"
Conan Doyle,"yet there was but one woman to him, and that woman was the late Irene"
Conan Doyle,laughter on hearing that the Professor had convinced me.
Conan Doyle,I had one strange experience as I came from this second visit which had
Christie,"Bless you, liquid eyes. Some day you will see what a mistake you"
Christie,her voice saying “Come and look me up” and my own answering with
Conan Doyle,recipients of these dubious honors.
Christie,"at my bonds, but the knots held. I desisted at last, and either"
Conan Doyle,get quite mad if I wanted so much as to join a Sunday-school treat. But
Conan Doyle,Holmes and I had listened spellbound to this extraordinary story. My
Christie,"board, I said “Yes, please.” Surfing looks perfectly easy. _It"
Christie,"“I admire your whole-hearted, blood-thirsty instincts, Miss"
Conan Doyle,                            CHAPTER XI
Conan Doyle,they carried sticks and stones in their hands and jabbered talk to each
Conan Doyle,"with his death, I was unable to find anything which could suggest the"
Christie,It seemed a conflict of wills between them. Race won. Harry turned
Conan Doyle,"Franco-Prussian War. It is one of these cases—but, hullo, here is"
Conan Doyle,“He said that you could solve anything.”
Christie,my way of dealing with the situation. I was soon shown that. Race
Conan Doyle,“Before the what?” asked Holmes with a start.
Christie,"was on the staff of the _Daily Budget,_ and I had a private word"
Christie,but I might as well go before they get worse. I dare say I shall
Conan Doyle,“Dark enough and sinister enough.”
Christie,embarrassed by my questions.
Conan Doyle,"Alpine climbing.  Address: Enmore Park, Kensington, W.'"
Conan Doyle,go back to London before I know a great deal more of this place than I
Conan Doyle,"indeed. Let me see it.” He took up the paper in a listless way, but his"
Conan Doyle,"“Very good. Come this way, if you please.” He led us down a passage,"
Conan Doyle,yellow light from my lamp beating upon her eager and beautiful face. I
Conan Doyle,"travel the distance. But this one comes from London, and therefore we"
Conan Doyle,story. He was at work again. He had risen out of his drug-created
Christie,"“Don’t—don’t,” I said fiercely."
Conan Doyle,tricks these days--that I glowed with pride when three such men as my
Conan Doyle,a most suspicious remark.”
Christie,"Therefore, misled by the dot as you were, he attempts to reach"
Christie,"“Perhaps,” I said, “you don’t realize how much in my power you are?"
Christie,"“Quick, Hastings. We will go after him.”"
Conan Doyle,"me--you with your walnut of a brain?  You think you are omnipotent, you"
Conan Doyle,down the letter K of the _American Encyclopædia_ which stands upon the
Christie,"“Yes, please. Can’t I give you a lift back? Have you much to do"
Christie,Giraud nodded his head towards Jack.
Conan Doyle,"drink, and that a ladder should be ready at the moment when your master"
Conan Doyle,"colour. I found this single sheet upon the floor of his room, and I am"
Christie,possible doubt. Please follow my instructions minutely. Go to
Conan Doyle,"aware of a singular deep throbbing in the air, rhythmic and solemn,"
Conan Doyle,scandal would be caused if any harm were to befall it. Any injury to it
Conan Doyle,"""We had a little difference at first."""
Christie,But there I felt the need of treading warily. All very well for my
Conan Doyle,"Barque _Lone Star_, Savannah, Georgia.”"
Christie,“My wife will be delighted to welcome you.”
Conan Doyle,                 GREAT MEETING AT THE QUEEN'S HALL
Christie,"minute or two, then answered:"
Conan Doyle,that a small parcel of considerable value which she had been expecting
Christie,night! Either Pagett has been drinking again or else the girl must
Conan Doyle,could show how strange it was to be.
Christie,"was the side entrance to the post office, the main entrance to"
Conan Doyle,room save for a square of Wilton carpet in the centre. The boards round
Conan Doyle,"tunnel, and up the long slope of palm trees, and through the bamboo"
Conan Doyle,"fugitives disappeared, and even Holmes’ ingenuity failed ever to"
Conan Doyle,"It was a bitter night, so we drew on our ulsters and wrapped cravats"
Conan Doyle,"I walked across to the Savage Club, but instead of turning into it I"
Christie,Madame Daubreuil replied quite composedly:
Christie,"“Come now, don’t rub it in. You’ve been so confoundedly mysterious all"
Conan Doyle,know where to find the man himself. He’ll crack a crib in Scotland one
Conan Doyle,"front of me, was also upon his feet.  He glared back at me with hard"
Conan Doyle,"(""No, no,"" from a sceptical student in the back row.)  If the young"
Conan Doyle,character of an amiable and simple-minded Nonconformist clergyman. His
Conan Doyle,"in height, with the chest and limbs of a Hercules. His dress was rich"
Christie,box as he did so.”
Christie,"“More than that, Sir Eustace, we have every reason to believe that"
Christie,"sure-to-be-falling rain, I hugged myself with delight. Suzanne was"
Conan Doyle,"fresh convulsion seized her and choked her words. I rushed out, calling"
Christie,"seedlings. Poirot called to him, and he set down the barrow and came"
Christie,The remarkable way in which this discovery justified Poirot’s point of
Christie,men were watching the exit of the secret passage. In spite of the
Christie,"Just as I was dropping off to sleep, I sat up with a sudden start"
Conan Doyle,"German-speaking country—in Bohemia, not far from Carlsbad. ‘Remarkable"
Conan Doyle,"radius, so the place might not be so secluded, after all. Yet it was"
Conan Doyle,Sherlock Holmes and I surveyed this curt announcement and the rueful
Conan Doyle,"force, but one still working, and even greater achievements were in"
Conan Doyle,"to light in the papers are, as a rule, bald enough, and vulgar enough."
Christie,"packed in yellow tin cylinders for the tropics, and picked up my"
Christie,something very like murder in my heart—and she was dead! I found
Christie,"looked, the more dangerous he was. His quiescence alarmed me. Observing"
Conan Doyle,"“Lady St. Simon, then, returned from the wedding in a less cheerful"
Conan Doyle,"until the last straggling houses had been left behind, and we rattled"
Christie,"have been content to know that I had this weapon in reserve, but"
Christie,"believe that he is afraid of Pagett, however."
Christie,in the peaceful morning sunlight. What must he have thought of me?
Conan Doyle,"franchise to them. He was a singular man, fierce and quick-tempered,"
Conan Doyle,"“I am very much afraid that it is not. But between ourselves,"
Christie,instructions would have had to be particularly definite to allow
Christie,"“Well, well, Miss Anne.” He shook me warmly by the hand. “I’m"
Christie,"“Ah, my friend, have faith in Papa Poirot. Some day, if you permit, I"
Conan Doyle,was a disgraceful one. When I remembered that you had seen her at that
Christie,My cue was plain.
Conan Doyle,"buried in Rucastle’s throat, while he writhed and screamed upon the"
Christie,"crime which he had not committed. When she knew, how would she act?"
Conan Doyle,of our horse’s feet.”
Conan Doyle,most luxuriant vegetation.  No one who had not observed that for a
Conan Doyle,This account of you we have from all quarters received. Be in your
Christie,"present itself. For a while we ate in silence, and then Poirot observed"
Conan Doyle,pulled up before she shot out of the hall door and into it. I only
Conan Doyle,would hardly have reached its shoulders.  Presently it gave a warning
Conan Doyle,which is marked upon the outside.  Have I made myself clear?  I leave
Conan Doyle,"the blind. That was a week ago, and from that time I have not sat again"
Christie,I went out. Seeing is believing in future.”
Conan Doyle,not a red-head to be seen except my own and that of the manager.
Christie,"“I should like to know,” I said, “what became of the other young"
Conan Doyle,"""to be present at one of the typical decisive battles of history--the"
Conan Doyle,"he ever deigns to answer you.  He is a violent, dangerous, cantankerous"
Conan Doyle,"the creatures we have seen, some of which""--here he looked hard at"
Conan Doyle,"“Do you know, Watson,” said he, “that it is one of the curses of a mind"
Conan Doyle,"should gain an influence over him, for he has frequently brought him to"
Conan Doyle,"and, having thumped vigorously upon the pavement with his stick two or"
Christie,"accredited to hunt down the murderer, and I, and only I, knew that"
Conan Doyle,"Challenger's exploits, and I read it over under the electric lamp."
Conan Doyle,“I suppose that everyone finds his first independent start in business
Conan Doyle,"Oh, it drives me half-mad to think of it, and I can’t sleep a wink at"
Christie,"“You think not, M. le juge?”"
Christie,me to-morrow in the spirit of the faithful dog who comes to die by
Conan Doyle,"“It is not yet nine. The streets will be crowded, so I trust that you"
Christie,4 The Letter Signed “Bella”
Christie,"I’d always longed for adventures. You see, my life had such a"
Christie,"Pedler, M.P., is to be let unfurnished, and an order to view this"
Conan Doyle,"""Well, then, I promise."""
Christie,"Suddenly she rose and peered at the paper, holding it as close"
Conan Doyle,"""What was it?"" I whispered."
Conan Doyle,"""I am, of course, a mere student,"" said I, with a fatuous smile,"
Conan Doyle,"line. You said ten miles, I think, sir.”"
Christie,"“Yes,” I said eagerly. “Why?”"
Conan Doyle,"to speak the truth, I could not trust him in the handling of large sums"
Christie,"“No little disputes, eh?”"
Conan Doyle,"the final fearful scene of all.  Some eighty or a hundred males, the"
Christie,"“After all, he has his explanations for everything.”"
Conan Doyle,were there before us. The cab and the landau with their steaming horses
Conan Doyle,"the little money which I had saved began to run short, and I was at my"
Christie,sight of the commissary.
Conan Doyle,"the deepest thought, and entirely oblivious to the good-night which I"
Conan Doyle,"the light was still there, ready to flash out at a moment’s notice. To"
Conan Doyle,"sleepers from their beds. It struck cold to our hearts, and I stood"
Christie,floated before me. I felt myself falling—falling again. Once Harry
Christie,"“Là, là, you do not believe all that rigmarole, do you? The masked men"
Conan Doyle,shown your relish for it by the enthusiasm which has prompted you to
Christie,that you are an English visitor who has nothing whatsoever to do
Christie,you’d better go down to the barber and select a fancy costume for
Conan Doyle,"finger on the trigger of his elephant-gun, his eager hunter's soul"
Christie,“But you are wonderful—magnificent! You are the greatest detective in
Conan Doyle,"my anger. Mary was the first to rush into my room, and, at the sight of"
Christie,driven off in his car. I was going down the steps when Poirot’s voice
Conan Doyle,"“‘No, I know no one in these parts.’"
Christie,"“The doorways are the same size in all the cabins,” replied Pagett"
Christie,"strongly of them. But, then——"
Christie,"the Count’s mannerisms had dropped from him, could doubt that it"
Conan Doyle,"was a pretty expensive joke for them, for it cost them two and thirty"
Conan Doyle,"monkeys, with snow-white teeth and gleaming, mocking eyes, chattered at"
Conan Doyle,"Hatherley,” said he. “Pray, lie down there and make yourself absolutely"
Conan Doyle,"There are no further particulars, and the whole case is in your hands"
Christie,“But your contract here?”
Conan Doyle,'speculation' with regard to my statement upon the subject of
Conan Doyle,would have exhausted their food supply and have been compelled to
Christie,particulars of about half a dozen desirable properties. It took
Christie,"I nodded. There was no doubt that I had scored heavily. Her emotion, as"
Conan Doyle,"hardly knowing what to say or do, I was so pleased at my own good"
Christie,What kept her there—the hope of seeing Jack Renauld? I had told her (as
Conan Doyle,"have it all in his rag to-morrow, and sell an extra dozen among our"
Conan Doyle,"“‘You understand, Mr. Holder, that I am giving you a strong proof of"
Conan Doyle,"overwhelming.  The sketch, the photographs, the narrative, and now the"
Conan Doyle,"“It is a murder, then?”"
Christie,"changed. She watches him now like a cat a mouse, and she makes"
Conan Doyle,were such commands as a lady might with propriety obey. You see no
Conan Doyle,"thin, cold rain is falling.  Three shining mackintoshed figures are"
Christie,"speaking. “You have the letter here, monsieur?”"
Christie,"    Calais, and determined I would not go on to England without her."
Christie,"“But I love the Italians,” continued Mrs. Blair. “They’re so"
Christie,"the Prime Minister, taking Milray’s sealed letter. It didn’t look"
Conan Doyle,“What shall I do?”
Christie,"of you. You will understand better soon. But, believe me, I have"
Christie,"So Sir Eustace Pedler, the owner of the Mill House, was on board."
Christie,I shuddered. Then a thought struck me.
Conan Doyle,"special equipment, could hope to cope with it.  Should we attempt to do"
Conan Doyle,of your jacket is spattered with mud in no less than seven places. The
Conan Doyle,I shall only be away a couple of hours.”
Christie,"course, and now I proceeded to undo the rest of my handiwork. The"
Conan Doyle,"It struck me that it might have been fastened by a mere oversight, so I"
Conan Doyle,Who would think that so pretty a toy would be a purveyor to the gallows
Conan Doyle,"“Third right, fourth left,” answered the assistant promptly, closing"
Conan Doyle,"""Because I have never been without that feeling that something"
Christie,“I agree with you! She is certainly _very_ good-looking.”
Conan Doyle,“None. Neville wrote those words.”
Conan Doyle,"front, down the tradesmen’s path, and so round by the garden behind"
Conan Doyle,“It may turn out to be of more interest than you think. You remember
Christie,interest in his story.
Christie,“You will do nothing of the kind.”
Conan Doyle,"knew the creatures had not discovered our retreat, and that in any case"
Conan Doyle,“To an English lawyer named Norton.”
Conan Doyle,"up there. But, dear me! what an observant young lady we have come upon."
Conan Doyle,"events, we had been whirling through the outskirts of the great town"
Christie,"“For Heaven’s sake, not now! You really are the most irritating of"
Conan Doyle,"police, and very energetic inquiries are being made, which will"
Conan Doyle,"from the front of his ragged jacket.  It was this sketch-book, which"
Conan Doyle,"""DR. ILLINGWORTH:  'No picture could convince us of anything.'"
Conan Doyle,"as we get farther back on the left side, until it becomes positively"
Conan Doyle,"Edward Street, near St. Paul’s.’"
Christie,He’s probably exquisitely disguised as an old Kafir woman—and the
Christie,"appeared, piled up into fantastic shapes. I felt suddenly that I"
Conan Doyle,was upon their track. Very long and very severe were the equinoctial
Conan Doyle,"companion’s knees. “For God’s sake, have mercy!” he shrieked. “Think of"
Conan Doyle,"the audience, a tall, thin, bitter man, with the withered aspect of a"
Christie,"And think of me sometimes, comfortably putting on weight amidst"
Conan Doyle,"“I see. Then at the gasfitters’ ball you met, as I understand, a"
Christie,the sunlight and the black-faced sellers of flowers and fruits. I
Christie,"nearly enough rainbows, and we got soaked to the skin, but every"
Conan Doyle,"had charge of the case, made a very careful examination of the"
Conan Doyle,even more unnerving to do so in the jungle.  One or the other it must
Conan Doyle,"“What do you make of that, Watson?”"
Conan Doyle,"McCarthy’s narrative which struck us both instantly, although they"
Conan Doyle,"good as her word. I would take my goose now, and in it I would carry my"
Christie,"behalf as I had believed? Or had I only fatuously thought so, and was"
Christie,he could put her on her guard. Three little words gave me the
Conan Doyle,"attention with the flash and roar of our guns, and so to give both the"
Conan Doyle,"""What!"" roared McArdle.  ""You don't mean to say you really believe this"
Conan Doyle,"were.  Malone and I will go down again, therefore, and we will fetch up"
Christie,"“He is kind enough to say that I am a wonderful sport for my age, and"
Conan Doyle,"horror, it burst between my finger and thumb, squirting blood in every"
Conan Doyle,a member of your goose club.”
Christie,"“He was trying to make a getaway, but I was too sharp for him. He is"
Christie,"her face, and determination. I realized in that moment that she was a"
Conan Doyle,When I finished my last letter I stated that we were within seven miles
Conan Doyle,yesterday evening he was very drunk; and when I came upstairs there was
Conan Doyle,safe as if it were in the fire.”
Conan Doyle,"it. You see all these isolated facts, together with many minor ones,"
Christie,Suzanne seemed unconvinced. An hour or two of gagging and binding
Christie,"knowing that I was no match for him in astuteness, I relaxed my grip,"
Christie,"“Miss Anne, you are very much of a child still. You don’t"
Conan Doyle,tempted to take the next down-river boat and catch the Bolivia at Para.
Christie,"“I think that you should write for the Kinema, _mon ami___,” he"
Conan Doyle,were weary of their journey and anxious to return.  We realized that
Christie,“No. But I think he will find it hard to prove his innocence.”
Conan Doyle,"of fourteen, Patience Moran, who is the daughter of the lodge-keeper of"
Christie,at the time. Suspicion was then bound to fall on them.”
Christie,"“You didn’t notice what kind of a head he had, I suppose?”"
Christie,"it, as he held her closer to him and asked:"
Christie,"To-morrow was the 22nd, and at 1 a.m. or 1 p.m. something would"
Christie,"Poirot took it and unfolded it. It was somewhat worn and crumbled, and"
Conan Doyle,“And have you any on hand just now?” I asked with interest.
Christie,"“Admirable, M. Giraud?” asked the magistrate, studying him cautiously"
Christie,“What the devil——” he began forcibly.
Conan Doyle,"funnel-shaped depression in the morass, of a livid green in color from"
Conan Doyle,"perpetrated in the house, he beat his native butler to death and"
Christie,"He is innocent, and we must save him.”"
Christie,he tried to throw you overboard. The man’s a marvellous actor.”
Conan Doyle,"which I played upon you in the matter of the envelope, it is clear"
Conan Doyle,I was on its hunting-ground.  At any instant it might spring upon me
Conan Doyle,tallow—walks upstairs at night probably with his hat in one hand and a
Conan Doyle,"woman, for she would have her way.”"
Christie,"unlikely that Madame Daubreuil had any connection with the crime, and"
Christie,"“Here I am, M. le juge, at your service. Accept my excuses for not"
Conan Doyle,to know that I succeeded in shooting that particular specimen.  It was
Christie,“And what of you?”
